company,title,location,description,technologies,salary,english,years_of_experience,employment_type,views,appliances
HebronSoft,Senior Python Engineer,Україна(Львів),"Description:<br>We are seeking an experienced Senior Python Engineer to join our team in the field of e-commerce and finance. Our client, a leading company in this space, is dedicated to developing and maintaining cutting-edge solutions for Point of Sale (POS) systems, web applications, and financial services.<br><br><br>Requirements:<br>Minimum 5 years of experience as a Python Engineer<br>Knowledge and experience working with POS systems, web development, financial applications, and API integration<br>Proficient in Python and its frameworks, such as Django or Flask<br>Experience with relational databases, such as PostgreSQL or MySQL<br>Understanding of performance optimization techniques<br>Ability to work in a team and communicate effectively with team members<br>English level at least Upper-Intermediate<br><br><br>What We Offer:<br>Competitive compensation depended on experience and skills<br>Flexible working hours plus the ability to work from home<br>Transparency in relationships and workflows<br>Working on an extra-technological project with a team of professionals<br>Professional and career growth opportunities<br>Regular corporate social activities<br>Regular technical training in our office (Engineering days, Hackathon, etc.)<br>English courses<br><br>Here at HebronSoft, we value and prioritize people over profits. With quite extensive expertise in delivering competitive software solutions across devices and industry verticals, we are proud to work with great IT folks who have been with us for years.","['Flask', 'Databases', 'Django', 'SQL', 'Python', 'PostgreSQL', 'MySQL']",,Intermediate,5,Тільки віддалено,71,5
at Apexive,Senior Python/Django Engineer,"Чехія,    Нідерланди,    Польща,    Україна","<b>Apexive</b> is a premier software studio that creates top-notch technology for startups.<br><br>We have a remote-first culture, and this position can be based anywhere. We encourage you to work in the way that best suits you. The company is led by a software architect (the founder actually codes), so you’ll never feel like a cog in the machine. Everyone has the chance to make decisions that steer the company as a whole.<br><br>While we are technology agnostic and believe in using the right tools for a given challenge, we are experts in cutting-edge frameworks and platforms, such as Flutter/Dart, Google Cloud Platform/AWS/Kubernetes, Python/Django, and Terraform, to name very a few. This is a full-time position.<br><br>For this role, we are considering candidates who are remote-based. Apexive offers different work modes to meet the variety of needs and preferences of our team. Learn more about our engineering philosophies, tools, and some of the challenges we’ve been solving on our Engineering blog.<br><br><b>What You’ll Do:</b><br><br>- Develop and maintain Backend solutions using Python/Django<br>- Build docker images that can run on top of AWS or other PaaS<br>- Model databases using MySQL, Postgres, DynamoDB<br>- Understand the needs of our clients and come up with solutions for their problems<br>- Taking an active part in our learning and knowledge-sharing culture<br><br><b>Skills We’re looking for:</b><br><br>- 3+ years of Python/Django experience<br>- Experience with RESTful backend applications, specially built with Django<br>- An inability to write anything but clean, maintainable code.<br>- Strong aversion to hard code<br>- Experience with deployment processes like AWS, Heroku<br>- Being up-to-date with the latest news and technologies about the Backend<br>- High English proficiency as our company language is English<br>- Ability to work independently<br>- Alignment with our values, including get things done attitude<br><br>We’re looking for people who are passionate about building tech for startups and do not afraid of challenges!<br><br><b>Nice to have:</b><br><br>- UI/UX feeling<br>- Docker, CircleCI<br>- Terraform, Odoo<br>- Basic knowledge of frontend<br>- Contributions to open-source projects<br><br><b>Perks & Benefits</b><br><br>💰 Competitive compensation<br>📈 Equity options<br>💻 Work with the latest tech stack and top startups from various industries<br>🏖️ Offsite week in Thailand full of adventures — all expenses paid<br>🧳 Flexible work hours and truly remote work culture<br>🧗‍♂️ Work From Anywhere<br>👫 Mentorship program — get a mentor and become one<br>📚 Conferences, meetups, language lessons, and seminars to support personal growth<br><br><b>Our Hiring Process:</b><br><br>Joining Apexive means becoming part of a team that values innovation and collaboration. Here's how our hiring process works:<br><br><b>Apply:</b> Start by submitting your application. Show us why you're excited about joining Apexive and how your skills and experiences make you a great fit for our team.<br><br><b>Technical Survey:</b> After applying, you'll be asked to complete a technical survey. This is your opportunity to showcase your skills. Please include links to specific sections of code where you've made significant contributions or solved complex problems.<br><br><b>Cultural Fit Interview:</b> If your technical survey impresses us, we'll invite you for a cultural fit interview. This is a chance for us to get to know each other better and see how well you align with Apexive's values and culture.<br><br><b>Technical Interview:</b> Next, you'll have a technical interview. This is where you'll demonstrate your technical expertise, problem-solving abilities, and how you approach and tackle technical challenges.<br><br><b>Offer:</b> If all goes well, we'll extend an offer for you to join our team!<br><br>Welcome aboard!","['CircleCI', 'Databases', 'Heroku', 'Django', 'SQL', 'Docker', 'Python', 'MySQL', 'Kubernetes', 'Lean']",від 3000,Upper-Intermediate,3,Тільки віддалено,166,33
Luxoft,Senior Python Developer,Україна,"Project Description:<br>One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.<br>Our project is stable, long-term and constantly adopts new technologies.<br><br>Work supposes close cooperation with Customer team located in Houston and following Agile principles.<br>Our team is senior, supportive and friendly.<br><br>Responsibilities:<br>Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.<br>Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.<br>Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.<br>Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.<br><br>Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.<br>Optimize and fine-tune backend systems for performance, reliability, and scalability.<br>Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.<br>Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.<br><br>Mandatory Skills Description:<br>Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).<br>3+ years of experience<br>Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.<br>Proficiency in Python and a solid understanding of software design principles.<br>Experience developing serverless applications using AWS Lambda functions.<br>In-depth knowledge of GraphQL and its implementation principles.<br>Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.<br>Strong understanding of RESTful API design, microservices architecture, and event-driven programming.<br>Ability to write clean, maintainable, and well-documented code.<br>Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.<br>Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.<br><br>Nice-to-Have Skills:<br>Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.<br><br>Languages:<br>English: B2 Upper Intermediate","['Version Control', 'GraphQL', 'API Gateway', 'Microservices', 'Python', 'Git', 'RESTful API', 'Lambda Functions', 'Scalability', 'DevOps', 'Serverless', 'Lean', 'Agile']",,Upper-Intermediate,5,Office або Remote,22,2
Luxoft,Senior Python Developer,"Україна(Дніпро, Київ, Одеса)","Project Description:<br>One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.<br>Our project is stable, long-term and constantly adopts new technologies.<br><br>Work supposes close cooperation with Customer team located in Houston and following Agile principles.<br>Our team is senior, supportive and friendly.<br>Responsibilities:<br>Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.<br>Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.<br>Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.<br>Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.<br>Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.<br>Optimize and fine-tune backend systems for performance, reliability, and scalability.<br>Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.<br>Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.<br>Mandatory Skills Description:<br>Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).<br>3+ years of experience<br>Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.<br>Proficiency in Python and a solid understanding of software design principles.<br>Experience developing serverless applications using AWS Lambda functions.<br>In-depth knowledge of GraphQL and its implementation principles.<br>Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.<br>Strong understanding of RESTful API design, microservices architecture, and event-driven programming.<br>Ability to write clean, maintainable, and well-documented code.<br>Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.<br>Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.<br>Nice-to-Have Skills:Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.<br>Languages:<br>English: B2 Upper Intermediate","['Version Control', 'GraphQL', 'API Gateway', 'Microservices', 'Python', 'Git', 'RESTful API', 'Lambda Functions', 'Scalability', 'DevOps', 'Serverless', 'Lean', 'Agile']",,Upper-Intermediate,3,Office або Remote,46,6
Luxoft,Senior Python Developer,Україна,"Project Description:<br>One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.<br>Our project is stable, long-term and constantly adopts new technologies.<br><br>Work supposes close cooperation with Customer team located in Houston and following Agile principles.<br>Our team is senior, supportive and friendly.<br><br>Responsibilities:<br>Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.<br>Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.<br><br>Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.<br>Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.<br><br>Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.<br>Optimize and fine-tune backend systems for performance, reliability, and scalability.<br><br>Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.<br>Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.<br><br>Mandatory Skills Description:<br>Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).<br>3+ years of experience<br>Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.<br>Proficiency in Python and a solid understanding of software design principles.<br>Experience developing serverless applications using AWS Lambda functions.<br>In-depth knowledge of GraphQL and its implementation principles.<br>Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.<br>Strong understanding of RESTful API design, microservices architecture, and event-driven programming.<br>Ability to write clean, maintainable, and well-documented code.<br>Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.<br>Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.<br><br>Nice-to-Have Skills:<br>Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.","['Version Control', 'GraphQL', 'API Gateway', 'Microservices', 'Python', 'Git', 'RESTful API', 'Lambda Functions', 'Scalability', 'DevOps', 'Serverless', 'Lean', 'Agile']",,Upper-Intermediate,3,Office або Remote,23,1
Luxoft,Senior Python Developer,Україна,"Project Description:<br>One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.<br>Our project is stable, long-term and constantly adopts new technologies.<br><br>Work supposes close cooperation with Customer team located in Houston and following Agile principles.<br>Our team is senior, supportive and friendly.<br><br>Responsibilities:<br>Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.<br>Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.<br>Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.<br>Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.<br>Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.<br>Optimize and fine-tune backend systems for performance, reliability, and scalability.<br>Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.<br>Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.<br><br>Mandatory Skills Description:<br><br>Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).<br>3+ years of experience<br>Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.<br>Proficiency in Python and a solid understanding of software design principles.<br>Experience developing serverless applications using AWS Lambda functions.<br>In-depth knowledge of GraphQL and its implementation principles.<br>Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.<br>Strong understanding of RESTful API design, microservices architecture, and event-driven programming.<br>Ability to write clean, maintainable, and well-documented code.<br>Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.<br>Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.<br><br>Nice-to-Have Skills:<br>Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.<br><br>Languages:<br>English: B2 Upper Intermediate","['Version Control', 'GraphQL', 'API Gateway', 'Microservices', 'Python', 'Git', 'RESTful API', 'Lambda Functions', 'Scalability', 'DevOps', 'Serverless', 'Lean', 'Agile']",,Upper-Intermediate,3,Office або Remote,34,2
Trinetix,"Senior Python Developer(AI, ML experience)","Болгарія,    Кіпр,    Польща,    Словаччина,    Туреччина","Job Description:<br>We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The ideal candidate will have a strong background in software development, machine learning, and cloud-based services. The Python Developer will be responsible for building and maintaining applications and infrastructure that leverage ChatGPT and other AI technologies to create innovative solutions for our clients.<br><br>Responsibilities:<br>Develop and maintain applications using Python, with a focus on integrating ChatGPT,  AWS GlueJobs/Azure Functions and other.<br>Design, build, and deploy machine learning models.<br>Implement ETL processes using AWS GlueJobs/Azure Functions to process and transform large datasets.<br>Collaborate with cross-functional teams to define, design, and ship new features and enhancements.<br>Optimize applications for maximum performance, scalability, and maintainability.<br>Troubleshoot, debug, and resolve software defects and issues.<br>Keep up-to-date with the latest industry trends and technologies to ensure the software is current and competitive.<br>Provide technical guidance and support to other team members.<br>Write clean, maintainable, and well-documented code.<br>Participate in code reviews and contribute to improving code quality.<br><br>Requirements:<br><br>3+ years of experience in software development using Python. <br>Hands-on experience with AWS services or Azure Cloud Platform<br>Strong understanding of machine learning concepts, NLP, and ChatGPT.<br>Experience in building, training, and deploying machine learning models.<br>Familiarity with ETL processes and data transformation.<br>Strong knowledge of web services, API development, and RESTful APIs.<br>Proficient understanding of code versioning tools, such as Git.<br>Excellent problem-solving skills and attention to detail.<br>Strong verbal and written communication skills.<br>Basic knowledge of frameworks and libraries such as Pandas, FastAPI, SpaCy, etc.<br><br>Preferred Qualifications:<br>Experience working with other AI and NLP technologies, such as OpenAI's GPT family, Azure OpenAI, PyTorch or related.<br>Knowledge of containerization and orchestration technologies, such as Docker and Kubernetes.<br>Familiarity with agile development methodologies, such as Scrum or Kanban.","['Azure', 'Machine Learning', 'Code Quality', 'PyTorch', 'Code Review', 'Kanban', 'Docker', 'Python', 'Git', 'RESTful API', 'Scrum', 'Containerization', 'Kubernetes', 'FastAPI', 'Scalability', 'Lean', 'Orchestration', 'Pandas', 'Agile']",,Upper-Intermediate,3,Office або Remote,36,6
Trinetix,Senior Python Developer,"Релокейт,    Болгарія,    Угорщина,    Польща,    Словаччина","We are seeking a talented and experienced <b>Python Developer</b> to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The ideal candidate will have a strong background in software development, machine learning, and cloud-based services. The Python Developer will be responsible for building and maintaining applications and infrastructure that leverage ChatGPT and other AI technologies to create innovative solutions for our clients.<br><br><b>Responsibilities:</b><br>- Develop and maintain applications using Python, with a focus on <br>  integrating ChatGPT,  AWS GlueJobs/Azure Functions and other.<br>- Design, build, and deploy machine learning models.<br>  Implement ETL processes using AWS GlueJobs/Azure Functions to <br>  process and transform large datasets.<br>- Collaborate with cross-functional teams to define, design, and ship <br>  new features and enhancements.<br>- Optimize applications for maximum performance, scalability, and <br>  maintainability.<br>- Troubleshoot, debug, and resolve software defects and issues.<br>- Keep up-to-date with the latest industry trends and technologies to <br>  ensure the software is current and competitive.<br>- Provide technical guidance and support to other team members.<br>- Write clean, maintainable, and well-documented code.<br>- Participate in code reviews and contribute to improving code quality.<br><br><b>Requirements:</b><br>- 3+ years of experience in software development using Python. <br>- Hands-on experience with AWS services or Azure Cloud Platform<br>- Strong understanding of machine learning concepts, NLP, and <br>  ChatGPT.<br>- Experience in building, training, and deploying machine learning <br>  models.<br>- Familiarity with ETL processes and data transformation.<br>- Strong knowledge of web services, API development, and RESTful <br>  APIs.<br>- Proficient understanding of code versioning tools, such as Git.<br>- Excellent problem-solving skills and attention to detail.<br>- Strong verbal and written communication skills.<br>- Knowledge of frameworks and libraries such as Pandas, FastAPI, <br>  SpaCy, etc.<br><br><b>Preferred Qualifications:</b><br>- Experience working with other AI and NLP technologies, such as <br>  OpenAI's GPT family, Azure OpenAI, PyTorch or related.<br>- Knowledge of containerization and orchestration technologies, such as <br>  Docker and Kubernetes.<br>- Familiarity with agile development methodologies, such as Scrum or <br>  Kanban.<br><br><b>Perks:</b><br>— Flexible vacations & paid time off;<br>— Sporting events at your option;<br>— PE and legal support;<br>— Learning programs;<br>— Variety of knowledge-sharing opportunities.","['Azure', 'Machine Learning', 'Code Quality', 'PyTorch', 'Code Review', 'Kanban', 'Docker', 'Python', 'Git', 'Scrum', 'Containerization', 'Kubernetes', 'FastAPI', 'Scalability', 'Lean', 'Orchestration', 'Pandas', 'Agile']",,Upper-Intermediate,3,Office або Remote,92,15
Quintagroup,Senior Software Engineer (IoT),Україна(Львів),"Quintagroup is looking for Software Enginee engineer  to join the development team of IoT solutions. <br><br><b>RESPONSIBILITIES:</b><br>    participation in planning and execution stages<br>    researching and using technologies to implement effective solutions<br><br><b>Technology Stack: </b><br><br>Modbus, OPCUA,  mqtt, LoRaWAN<br><br><b>REQUIREMENTS:</b><br><br>    previous experience in IoT projects <br>    Strong knowledge of GIT<br>    English B1+<br><br><br><b>WE OFFER:</b><br><br>    a company with a specialization in custom software development for the last 20 years<br>    different domains of projects: IoT, FinTech, EdTech, GovTech,  e-commerce, marketplaces, e-auctions, e-learning, public procurement, development of complex AWS/GCP based solutions<br>    interesting tasks, possibilities for career and professional growth<br>    friendly atmosphere and good working conditions<br>    regular team-buildings and corporate parties<br>    English classes<br>    flexible working hours<br>    experience with new technologies",['Git'],,Intermediate,3,Office або Remote,37,2
Quintagroup,Senior Python Developer (Django),Україна(Львів),"Quintagroup шукає сеніор Python/Django розробників в команди що працюють над створенням продуктів компанії що займається виробництвом та встановленням сонячних панелей. Technology stack: Python, Django.<br><br><br><b>RESPONSIBILITIES:</b><br>- development with Python, Django<br>- participation in planning and execution stages<br><br><b>REQUIREMENTS</b><br>- 4+ years of experience with Python<br>- experience with  Django<br>- desire to develop and share knowledge<br><br><b>Customer methodologies and tools</b><br>Scrum (2 week sprints)<br><br><b>Senior Python Developer - Project tech stack:</b><br>Python<br>Django<br>Django Rest Framework<br><br><b>WE OFFER:</b><br><br>a company with a specialization in Python development for the last 20 years<br>different domains of projects: FinTech, EdTech, GovTech, IoT, e-commerce, marketplaces, e-auctions, e-learning, public procurement, development of complex AWS based solutions<br>interesting tasks, possibilities for career and professional growth<br>friendly atmosphere and good working conditions<br>regular team-buildings and corporate parties<br>English classes<br>flexible working hours<br>experience with new technologies","['Django', 'Python', 'Scrum']",,Upper-Intermediate,3,Office або Remote,61,19
GlobalLogic,Senior Python Engineer IRC206424,"Україна(Київ, Львів, Харків)","<b>Description:</b><br>Our client is one of the leaders in Software as a service in the world of business applications.<br>You will be working on a data platform.<br><br><b>About the platform:</b><br>A suite of products to deliver a flexible modern data estate in the customer’s Azure tenant without the major expense and effort of a large buildout or data program.<br>We build, deliver, and update a data platform for customers to build on top of, without the hassle and expense of an implementation.<br>Customers see data available in their environment week one, with sophisticated history and query technology – no engineering!<br><br><b>Requirements:</b><br>-6+ years of relevant software development experience is required;<br>-Proficiency in Python and good knowledge of object-oriented programming paradigms;<br>-Knowledge of back-end frameworks such as Django or Flask.<br>Familiarity with database technologies (e.g., PostgreSQL, MongoDB).<br>-Understanding of RESTful APIs and microservices architecture.<br>Version control using Git.<br>-Strong problem-solving skills and attention to detail.<br>-Able to work and influence in a highly cross-functional team environment;<br>-Excellent communication and negotiation skills, for both internal and external audiences, at all levels.<br><br><b>Bonus Skills:</b><br>-Knowledge of containerization and orchestration tools (Docker, -Kubernetes).<br>-Familiarity with CI/CD pipelines.<br>-Testing experience using tools like Jest, Enzyme, or Pytest.<br><br><b>Responsibilities:</b><br>-Participate in systems-level requirements definition, architecture, design, and external communications/connectivity interface designs.<br>-Design and implement core application components running on Azure.<br>-Develop components in accordance with project standards.<br>-Communicate with an international dedicated team on a daily basis.<br>-Engineering excellence. Become a subject-matter expert on a broad area of the product.","['Flask', 'Version Control', 'Azure', 'MongoDB', 'Django', 'SQL', 'Microservices', 'Docker', 'Python', 'Git', 'RESTful API', 'PostgreSQL', 'Containerization', 'Kubernetes', 'Pytest', 'Orchestration']",,Upper-Intermediate,3,Office або Remote,131,46
KISS Software,Senior Python Developer,Україна,"We are young, creative and brave specialists. Our only mission is to Keep IT Sweet and Simple (K.I.S.S.) for you. It is our philosophy and sole aim. We are striving to make the process of IT development for you as simple and clear as one, two, three.<br>Senior Python Developer<br> <br>Requirements:<br><br>•  Experience in software development for more than 3 years<br>•  Excellent knowledge and experience in Python (more than 3 years)<br>•  Excellent knowledge in Computer Science, Computing Theory<br>•  Practical commercial experience with RDBMS (e.g PostgreSQL, MySQL, etc.)<br>•  Experience with developing microservices based architecture<br>•  Ability to investigate new technological areas and understand them in depth through rapid self-learning<br>•  Ability to demonstrate strong analytical problem-solving skills to support scalable and sustainable design solutions<br><br>Desirable:<br><br>•  Experience working in container-based environments using tools such as, helm<br>•  Experience developing data-oriented products preferably using Python<br>•  Practical commercial experience with MongoDB<br>•  Good algorithm and data structure knowledge<br>•  Design and develop a scalable data processing and ML pipeline using the latest big data technologies in a fast paced agile environment<br>•  Experience in machine learning FWs such as SKLearn, Tensorflow<br>•  Experience with RedHat OpenShift<br>•  Dev Environment knowledge: GIT, Jenkins, Docker<br>•  Experience in data processing FW such as Spark, Pandas, Hadoop, Airflow<br><br>What we offer:<br><br>Continuous education with unlimited professional growth opportunities<br>Friendly team of co-workers from all around the world<br>Deep dive into Fintech and Blockchain industry<br>Remote work<br>Flexible work hours<br>Warm atmosphere<br>Про компанію KISS Software<br>IT development company<br>Trusted IT partner for a digital-first world<br><br>We are young, creative and brave specialists from Kyiv, Ukraine. Our only mission is to Keep IT Sweet and Simple (K.I.S.S.) for you. It is our philosophy and sole aim. We are striving to make the process of IT development for you as simple and clear as one, two, three.<br><br>Сайт компанії:<br>https://kiss.software","['Blockchain', 'Big Data', 'MongoDB', 'Spark', 'Machine Learning', 'SQL', 'Microservices', 'Docker', 'Python', 'Git', 'Hadoop', 'PostgreSQL', 'MySQL', 'TensorFlow', 'Jenkins', 'Pandas', 'Agile']",,,3,Тільки віддалено,29,6
Qualicode,Senior Python developer for an AI startup,Ізраїль,"*This is a 100% remote position. <br>*If you are experienced with Typescript that's a big advantage<br>*direct hire by the product startup<br>*fast&respectful hiring process<br><br>We are looking for a passionate backend Python developer to join our startup core team. In this role, you'll be asked to develop the analytics stack for our next generation AI platform, and help us shape how b2b sales and revenue teams operate. As a core member, you will plan, develop and shape our platform, face complex design challenges, govern our data strategy, build analytics dashboards, infrastructure and platform wide features.<br><br><b>Who we are</b><br>Yess is a well-funded, VC backed stealth mode startup founded by 4 ex-Amazon managers. We're disrupting the industry with an AI revenue platform which enables sales and revenue teams to automate completely their pipeline creation efforts.<br><br>Our product is all about big data and beating human sellers at their own game. Our crew of smart engineers and data scientists has built something pretty awesome that's grabbing the attention of fortune 500 companies. Our rapid growth is fueled by the interest and demand from the market and we are looking for A player developers to join our vision.<br><br><b>We're seeking a professional who:</b><br>Consider himself fun to work with and passionate about server-side development<br>Develops high-quality code using advanced practices like Domain-Driven Design, Clean Code principles, and Design Patterns.<br>Prioritizes tasks effectively, adapting to a startup's pace while ensuring codebase extensibility and modularity.<br><br><b>Qualifications:</b><br>Minimum 5 years of backend engineering experience in scaled companies, tackling complex challenges.<br>5+ years of commercial Python development<br>Experience working in a cloud native environment (preferably AWS).<br>Proven experience in planning and implementing complex systems, including event-driven architecture and distributed systems.<br>Fluent in English<br><br><b>Advantageous skills and experiences:</b><br>Proficiency in modern application development (microservices, Event driven architecture)<br>Working with high volume data<br>Involvement in enterprise deployments, understanding enterprise-level requirements.<br>Experience in SaaS companies serving enterprises or the sales industry.<br>Previous tech lead, principal engineer, or architect roles, showcasing leadership and decision-making abilities.<br>Strong experience with Typescript","['Big Data', 'Microservices', 'Python', 'Dashboards', 'Lean']",,Upper-Intermediate,5,Тільки віддалено,145,39
GlobalLogic,Senior Developer / CI Developer (IRC206222),Польща,"We are looking for a team to support us with Core System Application Integration, we are in need of an agile team, building test environments for new platforms and programs. We need support to design hardware rigs that are working with our software and electronic domain integration. Striving to maximize the test-value. Our rigs are part of our Continuous integration (CI) and provide feedback of the electrical system to enable high quality and robustness. We improve quality by enabling automated integration and visualizing the status of the system-under-test.<br><br>We are now looking for people to strengthen our team within the field of test environment development with the task to create, write, run and analyze automated tests for a new developed Platform within Software & Electronic Platform organization.<br><br>We are looking for candidates from the Krakow region, due to the required visits to the client’s office several times a month.<br><br><b>Requirements:</b><br>6+ years of experience from automotive testing and fault tracing<br>Experience of testing in CI context<br>Proficient with Python programming<br>Experience of working with Robot Frameworks, CANalyzer, CANoe or CAPL<br>Experience of working in a large-scaled software company<br>Experience of working with version- and revision control systems e.g. Git<br>Knowledge of Jenkins or similar automation tool<br>Worked with HIL rigs and automated test systems in Vector rigs<br>Experience from working with Agile development process, e.g. Scrum<br>ISTQB certification, or equivalent knowledge<br>Linux systems knowledge<br>At least a bachelor’s degree in computer science, computer engineering or equivalent<br>Strong communication, multitasking, problem-solving and planning skills<br>Very good knowledge of English both spoken and written<br>Knowledge of Swedish is as a plus<br><br><b>Job Responsibilities:</b><br>As a Software Developer in this team, you will especially work with further development of our test activities to enable test automation and Continuous Integration (CI). In this team, you will work with the entire process from design of test infrastructure to analyze test results when the HIL rigs are up and running in the CI environment. We develop tool chains for test automation as well as develop test cases to verify the SW in Python, Robot Framework or CAPL. We work on continuous improvements regarding test automation and fault tracing of both hardware and Software.<br><br>Main tasks:<br>Daily update of integration software on CSAI rigs update SW/HW<br>Triage and analysis of the results and create fault reports<br>Support rig development and rig design","['Continuous Integration (CI)', 'Python', 'Automation', 'Git', 'Scrum', 'Jenkins', 'Agile']",,Upper-Intermediate,5,Office або Remote,7,0
Particles Global,Senior Python Developer,"Німеччина,    Україна","The Germany based current customer of Particles Global is looking for a Senior Python Developer to join the team from January 2024.<br>The customer provides a central platform for creating and managing project data based on a digital ship model that project teams collaborate on in the cloud.<br>The customer is looking for a Senior Python Developer for the development of status tracking solution for the backend. <br><b>Starting from January 2024 for at least 3 months with a possible prolongation.</b><br><br><b>Required skills are:</b><br>- 4-5+ years of experience in back-end Python programming;<br>- Deep experience working with Django;<br>- Deep experience working with Postgres;<br>- Deep experience working with Docker;<br>- Terraform + AWS (ECR, EC2, …) nice to have; <br>- 5+ years meaningful individual contributor experience as a software engineer;<br>- Exposure to architectural patterns of a large, high-scale web application (e.g., well-designed APIs, high volume data pipelines, efficient algorithms);<br>- Experience working with an international team.<br>Good English language to be able to communicate directly with a customer and express thoughts.<br><br><b>Project</b><br>We work on a cloud-based status tracking solution consisting of a mobile app, a web application, and a backend to manage the data. The web application is a desktop client for professional users allowing them to handle large data sets.<br><br><b>Team + Responsibility</b><br>Dev team consists of three persons, one for each component. Senior Python Developer is supposed to be responsible for the backend tasks.<br>Should be senior enough to drive this project on its own / without guidance.<br><br><b>What do you get?</b><br>An open, inspiring and flexible working environment at a rapidly growing startup! Small (around 10 people) but excellent team from all over Europe. Excellent communication, focus on work to be done rather than meetings.<br>Our mission is to organize the information in shipbuilding projects to make it accessible and useful for all stakeholders. That's the foundation for the digital transformation that has yet to take off in this industry. And we are at the forefront of this great movement!","['Django', 'Docker', 'Python', 'Git']",,Upper-Intermediate,5,Тільки віддалено,60,14
